1	[Comparative study of antiviral activity of luteolin and 7,3'-disulfate luteolin].Antiviral activity of 7,3'-disulfate luteolin, extracted from Zostera marina was studied on an experimental model of tick-borne encephalitis (TBE) in vivo and in vitro. The drug increased the survival of the experimental mice infected with TBE virus and prolonged their lifespan. It was shown that 7,3'-disulfate luteolin reduced the virus accumulation in the SPEV cells by 2.0-4.0 lg TChemicalActOnDisease50/ml.	zostera marina 7,3'-disulfate luteolin
1	Anthocyanins acylated with gallic acid from chenille plant, Acalypha hispida.Three anthocyanins were isolated from the red flowers of chenille plant, Acalypha hispida Burm. (Euphorbiaceae) by a combination of chromatographic techniques. Their structures were elucidated mainly by homo- and heteronuclear nuclear magnetic resonance spectroscopy and electrospray mass spectrometry, and supported with complete assignments of 13C NMR resonances. The novel pigment, cyanidin 3-O-(2"-galloyl-6"-O-alpha-rhamnopyranosyl-beta-galactopyranoside) (5%), contains the disaccharide robinoside. The other anthocyanins were identified as cyanidin 3-O-(2"-galloyl-beta-galactopyranoside) (85%), and cyanidin 3-O-beta-galactopyranoside (5%). Anthocyanins acylated with gallic acid have previously been identified in species from the families Nymphaeaceae and Aceraceae, and tentatively in Abrus precatorius (Leguminosae).	abrus precatorius gallic acid
3	Anti-inflammatory activity of seed essential oil from Zizyphus jujuba.This study was undertaken to evaluate the effect of essential oil from seeds of Zizyphus jujuba on TPA-induced skin inflammation in experimental mice. Exposure of TPA on the ear of the BALB/c mice caused a marked increase in both ear thickness and skin water content. The ear thickness was measured for TPA-induced ear was 0.54 mm, as compared to control (0.23 mm). Treatment with 1% and 10% of essential oil caused significant decrease in ear thicknesses which were measured to be 0.30 and 0.35 mm, as well as reduce the water content about 51% and 53% in the TPA-induced skin inflammation model, respectively. Furthermore, histological analysis clearly confirmed that Z. jujuba essential oil inhibited the inflammatory responses of skin inflammation in animal model. Therefore, our findings demonstrate that the essential oil of Z. jujuba seeds might accelerate the development of new drugs for various inflammatory diseases.	essential oil skin inflammation
4	Nrf2-dependent suppression of azoxymethane/dextran sulfate sodium-induced colon carcinogenesis by the cinnamon-derived dietary factor cinnamaldehyde.The progressive nature of colorectal cancer and poor prognosis associated with the metastatic phase of the disease create an urgent need for the development of more efficacious strategies targeting colorectal carcinogenesis. Cumulative evidence suggests that the redox-sensitive transcription factor Nrf2 (nuclear factor-E2-related factor 2), a master regulator of the cellular antioxidant defence, represents a promising molecular target for colorectal cancer chemoprevention. Recently, we have identified cinnamon, the ground bark of Cinnamomum aromaticum (cassia cinnamon) and Cinnamomum verum (Ceylon cinnamon), as a rich dietary source of the Nrf2 inducer cinnamaldehyde (CA) eliciting the Nrf2-regulated antioxidant response in human epithelial colon cells, conferring cytoprotection against electrophilic and genotoxic insult. Here, we have explored the molecular mechanism underlying CA-induced Nrf2 activation in colorectal epithelial cells and have examined the chemopreventive potential of CA in a murine colorectal cancer model comparing Nrf2(+/+) with Nrf2(-/-) mice. In HCT116 cells, CA caused a Keap1-C151-dependent increase in Nrf2 protein half-life via blockage of ubiquitination with upregulation of cytoprotective Nrf2 target genes and elevation of cellular glutathione. After optimizing colorectal Nrf2 activation and target gene expression by dietary CA-supplementation regimens, we demonstrated that CA suppresses AOM/DSS-induced inflammatory colon carcinogenesis with modulation of molecular markers of colorectal carcinogenesis. Dietary suppression of colorectal cancer using CA supplementation was achieved in Nrf2(+/+) but not in Nrf2(-/-) mice confirming the Nrf2 dependence of CA-induced chemopreventive effects. Taken together, our data suggest feasibility of colorectal cancer suppression by dietary CA, an FDA-approved food additive derived from the third most consumed spice in the world.	Nrf2 colorectal cancer
1	Antibacterial and Antibiofilm Activities of Cinnamomum Sp. Essential Oil and Cinnamaldehyde: Antimicrobial Activities.To assess the activities of essential oils derived from the trunk bark of Cinnamomum zeylanicum (EOCz) and Cinnamomum cassia (EOCc) as well as cinnamaldehyde on bacterial biofilms of clinical interest. Antimicrobial activity was assessed by the broth microdilution method to determine minimum inhibitory concentrations (MICs). Antibiofilm activity was assessed by quantifying the biomass and determining the number of viable cells. The chemical composition of the essential oils was determined. The results showed that the major component of EOCz and EOCc was cinnamaldehyde. For the assayed substances, biofilm biomasses were reduced by up to 99.9%, and Streptococcus pyogenes, Pseudomonas aeruginosa, and Escherichia coli biofilms were sensitive to all of the concentrations and substances analysed. In cell viability tests, 2 mg/ml of cinnamaldehyde reduced the number of viable cells by 5.74 Log CFU/ml. EOCz, EOCc, and cinnamaldehyde exhibited antimicrobial and antibiofilm activities. This work describes substances with potential use against infections caused by bacterial biofilms.	cinnamomum zeylanicum cinnamaldehyde
2	Evaluation of thermal-oxidative stability and antiglioma activity of Zanthoxylum tingoassuiba essential oil entrapped into multi- and unilamellar liposomes.Zanthoxylum tinguassuiba essential oil (ZtEO) contains alpha-bisabolol, a known antiglioma sesquiterpene, among other potentially active substances. Medical applications of this essential oil require advances in the design of distinctive carriers due to its low water solubility and easy degradation by heat, light, and oxygen. The aim of this work was to evaluate enhancement in oxidative stability and the ability to reduce glioblastoma cell viability of ZtEO loaded into liposomes. Multi- and unilamellar vesicles were prepared to carry ZtEO. By using thermal analysis, it was observed that thermal-oxidative stability of the liposomal ZtEO was enhanced, when compared to its free form. Liposomal ZtEO also presented significant apoptotic-inducing activity for glioma cells. These results show that liposomal systems carrying ZtEO may be a potential alternative for gliobastoma treatment.	Zanthoxylum glioma
1	Nitidine chloride suppresses epithelial-to-mesenchymal transition in osteosarcoma cell migration and invasion through Akt/GSK-3beta/Snail signaling pathway.Metastasis is the main cause of death in osteosarcoma. Targeting the process of metastasis is a main strategy for osteosarcoma therapy. As a traditional Chinese medicine, Zanthoxylum nitidum (Roxb) has been applied to treat various diseases, including cancer. However, no evidence has been shown on the anti-metastasis effect of nitidine chloride (NC) that was extracted from Zanthoxylum nitidum (Roxb) on osteosarcoma cells, or its underling mechanisms. In the present study, we aimed to demonstrate the role of NC on the migration and invasion of osteosarcoma cells. Viability and proliferation of osteosarcoma cells were examined by MTT assay. Then, by appling scratch wound healing assay and Transwell assays, we evaluated migratory and invasive ability of the cells, respectively. Moreover, the expression of epithelial-to-mesenchymal transition (EMT) markers were determined after treatment with NC. Furthermore, the expression of Akt, GSK-3beta and Snail were detected by western blot analysis. In addition, the GSK-3beta activity was examined by GSK-3beta kinase assay. Finally, an inhibitor of GSK-3beta, lithium chloride (LiCl) was applied to testify the effect of NC on the expression of EMT markers and Snail. We found that the proliferative, migratory and invasive ability of the U2OS osteosarcoma cells were all suppressed when treated with NC. NC increased the expression of E-cadherin and decreased the expression of N-cadherin, vimentin and fibronectin in a dose-dependent manner. NC also exerted its ability to suppress the phosphorylation of Akt and GSK-3beta so as to activate GSK-3beta. Then, by using an GSK-3beta inhibitor, LiCl, we revealed the effect of GSK-3beta in the expression of EMT markers. The expression of Snail was inhibited when treated with NC and LiCl also reversed the NC-inhibited Snail expression. Taken together, these results revealed that NC suppressed EMT and decreased the invasive ability of osteosarcoma cells via the Akt/GSK-3beta/snail signaling pathway. 	zanthoxylum nitidum NC
4	Hydroxy-alpha-sanshool activates TRPV1 and TRPA1 in sensory neurons.Sanshools are major active ingredients of Zanthoxylum piperitum and are used as food additives in East Asia. Sanshools cause irritant, tingling and sometimes paresthetic sensations on the tongue. However, the molecular mechanism underlying the pungent or tingling sensation induced by sanshools is not known. Because many transient receptor potential (TRP) channels are responsible for the sensations induced by various spices and food additives, we expressed 17 TRP channels in human embryonic kidney (HEK) cells and investigated their activation by hydroxy-alpha-sanshool (HalphaSS) or hydroxy-beta-sanshool (HbetaSS) isolated from Zanthoxylum piperitum. It was found that HalphaSS, but not HbetaSS, depolarized sensory neurons with concomitant firing of action potentials and evoked inward currents. Among 17 TRP channels expressed in HEK cells, HalphaSS caused Ca(2+) influx in cells transfected with TRPV1 or TRPA1, and evoked robust inward currents in cells transfected with TRPV1 or TRPA1. In primary cultured sensory neurons, HalphaSS induced inward currents and Ca(2+) influx in a capsazepine-dependent manner. Moreover, HalphaSS-induced currents and Ca(2+) influx were greatly diminished in TRPV1(-/-) mice. HalphaSS evoked licking behavior when injected into a single hind paw of wild-type mice, but this was much reduced in TRPV1-deficient mice. These results indicate that TRPV1 and TRPA1 are molecular targets of HalphaSS in sensory neurons. We conclude that the activations of TRPV1 and TRPA1 by HalphaSS explain its unique pungent, tingling sensation.	TRPA1 sensations
1	Relative bioavailability of coumarin from cinnamon and cinnamon-containing foods compared to isolated coumarin: a four-way crossover study in human volunteers.SCOPE: Cassia cinnamon contains high levels (up to 1 %) of coumarin. Heavy consumption of this spice may result in a dose exceeding the tolerable daily intake (TDI). In this context, the question was raised whether coumarin in the plant matrix of cinnamon has the same bioavailability as isolated coumarin. METHODS AND RESULTS: A four-way crossover study was performed, in which the same dose of 12 mg coumarin was administered in different formulations to 24 healthy volunteers. The relative extent of absorption measured as urinary excretion of the main metabolite 7-hydroxycoumarin (7OHC) was found to be 62.8% for isolated coumarin in a capsule (reference), 56.0% for cinnamon in capsules, 66.1% for cinnamon tea, and 54.7% for cinnamon in rice pudding (means, n=23, observation period 8 hours). Additionally, 7OHC plasma levels were measured for 105 minutes after administration and revealed a fast absorption of coumarin from cinnamon tea leading to the highest peak concentrations. CONCLUSION: The relative extent of absorption of coumarin from powder of cassia cinnamon is only slightly lower than that of isolated coumarin. Therefore, the TDI of coumarin can be used for risk assessment of coumarin exposure from cinnamon-containing meals.	cinnamon coumarin
2	Attempted suicide, by mail order: Abrus precatorius.OBJECTIVE: Abrus precatorius is cultivated in many subtropical areas. The seeds exist in a variety of colors such as black, orange, and most commonly, glossy red. A black band is found at the end of the seed. The plant contains multiple pods which typically contain three to five Abrus seeds. The seeds contain abrin, which inhibits ribosomal function, halting protein synthesis and leading to cellular death. A unique aspect of this case is the use of the internet to order a potentially lethal poison as well as transmission of a picture to identify the seed. CASE REPORT: A 20-year-old man presented to the emergency department complaining of vomiting and watery diarrhea for 6-8 h prior to arrival. He denied any medication use, recent illness, travel, or changes in his diet. Initial vital signs were normal. The patient was diagnosed with viral gastroenteritis. During his evaluation, the patient admitted to feeling suicidal. While awaiting psychiatry evaluation, the patient's father arrived with a box of small hard red seeds, which he believed that his son ingested in a suicide attempt. The seeds could not be identified by the staff. A picture of the seeds was transmitted by e-mail to the New York City Poison Control Center, allowing their identification as A. precatorius. The patient was reinterviewed and admitted to chewing and swallowing 10 seeds. Given the potential toxicity of abrin, the patient was admitted to the intensive care unit. He continued to have frequent episodes of emesis as well as diarrhea. He gradually improved over 2 days. He admitted to ordering a box of Abrus seeds online from Asia after reading on the Internet about their use in suicide. He was eventually discharged for outpatient follow-up with no permanent sequelae. CONCLUSION: Abrin has an estimated human fatal dose of 0.1-1 mug/kg. Most cases of Abrus seed ingestions are unintentional and occur in children. Ingesting the intact seeds typically results in no clinical findings, as they pass through the gastrointestinal tract due to their hard shell. Abrin released during chewing is poorly absorbed systemically from the gastrointestinal tract. This causes the vomiting and diarrhea with resultant hypovolemia and electrolyte disturbances, which can be severe and life threatening, particularly in areas with less advanced health care systems. Management is primarily supportive.	a. precatorius vomiting
